stockName,stockNo,tranType,quantity,date,unitPrice,price
兆豐金,2886,1,1000,2020-02-27,32.2,32200
景碩,3189,1,1000,2020-03-09,49.7,49700
石油,00642U,1,1000,2020-03-09,10.57,10570
兆豐金,2886,-1,1000,2020-03-10,31.4,-31400
石油,00642U,1,5000,2020-03-10,10.93,54650
華航,2610,1,1000,2020-03-11,8.03,8030
華航,2610,1,1000,2020-03-11,8.06,8060
麗正,2302,1,1000,2020-03-11,6.59,6590
景碩,3189,1,1000,2020-03-12,44.01,44010
漢翔,2634,1,200,2020-03-12,28.8,5760
景碩,3189,1,1000,2020-03-13,40.9,40900
長榮,2603,1,1000,2020-03-13,10.25,10250
微星,2377,1,150,2020-03-13,79.7,11955
金像電,2368,1,1000,2020-03-13,19.95,19950
景碩,3189,1,1000,2020-03-16,39.8,39800
建準,2421,1,1000,2020-03-16,33.1,33100
建準,2421,1,1000,2020-03-16,33.7,33700
技嘉,2376,1,1000,2020-03-16,45.55,45550
金像電,2368,-1,1000,2020-03-16,21.15,-21150
金像電,2368,1,1000,2020-03-16,20.85,20850
興農,1712,1,1000,2020-03-16,17.4,17400
景碩,3189,-1,4000,2020-03-17,36.1,-144400
技嘉,2376,1,1000,2020-03-17,42.9,42900
金像電,2368,-1,1000,2020-03-17,21.1,-21100
金像電,2368,1,3000,2020-03-17,19.85,59550
三聯,5493,1,1000,2020-03-18,35.95,35950
金像電,2368,-1,3000,2020-03-18,19.3,-57900
耿鼎,1524,1,3000,2020-03-18,8.73,26190
三聯,5493,-1,1000,2020-03-19,34.1,-34100
華航,2610,-1,2000,2020-03-19,5.65,-11300
長榮,2603,-1,1000,2020-03-19,9.18,-9180
建準,2421,-1,2000,2020-03-19,29.3,-58600
技嘉,2376,-1,2000,2020-03-19,38.3,-76600
麗正,2302,-1,1000,2020-03-19,4.86,-4860
興農,1712,-1,1000,2020-03-19,16.25,-16250
耿鼎,1524,-1,3000,2020-03-19,8.3,-24900
漢翔,2634,-1,200,2020-03-20,27,-5400
晶豪科,3006,1,1000,2020-03-23,24.75,24750
晶豪科,3006,1,1000,2020-03-23,24.7,24700
聯電,2303,1,3000,2020-03-23,13.75,41250
泰豐,2102,1,3000,2020-03-23,12.9,38700
華夏,1305,1,3000,2020-03-23,12.35,37050
三聯,5493,1,1000,2020-03-24,36.25,36250
由田,3455,1,1000,2020-03-24,39.55,39550
玉山金,2884,1,1000,2020-03-24,22.95,22950
泰豐,2102,-1,3000,2020-03-25,12.8,-38400
三聯,5493,-1,1000,2020-03-26,39.25,-39250
由田,3455,-1,1000,2020-03-26,41.25,-41250
晶豪科,3006,-1,2000,2020-03-26,27,-54000
玉山金,2884,-1,1000,2020-03-26,24.1,-24100
聯電,2303,-1,3000,2020-03-26,14.05,-42150
華夏,1305,-1,3000,2020-03-26,14,-42000
欣興,3037,1,2000,2020-03-30,30.75,61500
微星,2377,-1,150,2020-03-30,84,-12600
景碩,3189,1,1000,2020-03-31,40.1,40100
石油,00642U,1,1000,2020-03-31,10.15,10150
