委託時間,	股票名稱,	交易類別,	委託條件,	價格,	成交均價,	原委託,	成交股數,	未成交,	取消股數,	委託書號,	狀態
2020/12/15 12:17:05.285,元大台灣50(0050),現股賣出,ROD,130.05,116.85,1000,1000,0,--,67843,完全成交
2020/12/15 10:19:26.966,元大台灣50(0050),現股賣出,ROD,130.05,117.1,1000,1000,0,--,65803,完全成交
2020/12/15 09:09:41.598,晶豪科(3006),現股賣出,ROD,62.40,56.1,1000,1000,0,--,62433,完全成交
2020/12/11 09:00:10.723,遠傳(4904),現股買進,ROD,61.20,61.2,1000,1000,0,--,61311,完全成交
2020/12/10 12:43:04.614,台半(5425),現股買進,ROD,54.20,54.2,1000,1000,0,--,69513,完全成交
2020/12/10 12:34:22.056,金像電(2368),現股買進,ROD,57.20,50.2,1000,1000,0,--,69220,完全成交
2020/12/10 09:53:46.437,晶豪科(3006),現股買進,ROD,66.40,59.7,1000,1000,0,--,65378,完全成交
2020/12/10 09:14:15.838,金像電(2368),現股買進,ROD,57.20,52.1,1000,1000,0,--,63108,完全成交
2020/12/10 09:06:39.490,台半(5425),現股買進,ROD,55.40,55.4,1000,1000,0,--,62367,完全成交
2020/12/10 09:02:21.822,萬海(2615),現股買進,ROD,45.50,41.8,1000,1000,0,--,61919,完全成交
2020/12/09 09:44:19.832,台半(5425),現股買進,ROD,55.20,--,1000,--,1000,--,64783,委託成功
2020/12/09 09:04:51.709,金像電(2368),現股買進,ROD,57.40,53.3,1000,1000,0,--,62001,完全成交
2020/12/09 09:02:57.675,遠傳(4904),現股買進,ROD,66.80,61,1000,1000,0,--,61790,完全成交
2020/12/09 09:02:13.702,台半(5425),現股買進,ROD,61.60,56.4,1000,1000,0,--,61706,完全成交
2020/12/08 12:44:57.194,大學光(3218),現股賣出,ROD,302.50,271,3000,3000,0,--,69149,完全成交
2020/12/08 09:01:57.762,元大台灣50(0050),現股賣出,ROD,130.20,118.15,1000,1000,0,--,61681,完全成交
2020/12/03 10:14:52.784,大學光(3218),現股買進,ROD,311.50,284.5,1000,1000,0,--,65717,完全成交
